carat,depth,table,price,x,y,z,Fair,Good,Ideal,Premium,Very Good,D,E,F,G,H,I,J,I1,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
0.00023758746821519886,0.024550705048903883,0.021976840809905897,0.9994512829586033,0.00212640784052603,0.00214620679621063,0.0013265300308681937,0.0,0.0,0.0003959791136919981,0.0,0.0,0.0,0.0,0.0,0.0003959791136919981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003959791136919981,0.0
0.0002678918452740634,0.023242447420960995,0.021129497655419084,0.9995007015929492,0.0021620003850991317,0.002173319758843106,0.0013356861017889922,0.0,0.0,0.00037731245813248365,0.0,0.0,0.0,0.0,0.0,0.00037731245813248365,0.0,0.0,0.0,0.0,0.0,0.00037731245813248365,0.0,0.0,0.0,0.0,0.0
0.00029136305483231577,0.05608738805522079,0.052809553688357234,0.9970079532543306,0.003988031813017322,0.0039971369084808315,0.0024583757751476644,0.0,0.0,0.0,0.0009105095463509868,0.0,0.0,0.0009105095463509868,0.0,0.0,0.0,0.0,0.0,0.0,0.0009105095463509868,0.0,0.0,0.0,0.0,0.0,0.0
0.00023381581084379294,0.015174646123762164,0.013093685407252404,0.9997964071680586,0.001459010659665268,0.0014753777664243334,0.0009516303501342373,0.0,0.00023381581084379294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023381581084379294,0.0,0.0,0.0,0.0,0.00023381581084379294,0.0,0.0,0.0,0.0,0.0
0.00010354649293420097,0.0041625690159548786,0.0040037977267891045,0.9999829977632235,0.0005156615348123208,0.0005101390551891634,0.0003092588588968136,0.0,0.0,0.0,6.903099528946732e-05,0.0,0.0,0.0,6.903099528946732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903099528946732e-05,0.0,0.0
0.0006194692305373078,0.1276106614906854,0.11563425636696413,0.9849560765543194,0.008961654868439719,0.009023601791493452,0.005554574100484527,0.0,0.0,0.0020648974351243593,0.0,0.0,0.0,0.0,0.0,0.0020648974351243593,0.0,0.0,0.0,0.0,0.0,0.0020648974351243593,0.0,0.0,0.0,0.0,0.0
0.000535143232510332,0.11362874636969383,0.10167721417696308,0.9882311693690797,0.007634710117147403,0.007599033901646714,0.004851965308093677,0.0,0.00178381077503444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178381077503444,0.0,0.0,0.0,0.0,0.00178381077503444,0.0,0.0,0.0,0.0,0.0
0.0002967135908969458,0.036258400807606776,0.034418776544045716,0.9987379469591195,0.0030739528016923584,0.0030205443553309084,0.0018633613508328198,0.0,0.0,0.0,0.0005934271817938916,0.0,0.0005934271817938916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005934271817938916,0.0,0.0
0.0004214252531581112,0.06993381228083251,0.06378328155906549,0.9954747871897005,0.005296290343743831,0.005307680215450806,0.0032575033081951297,0.0,0.0,0.001138987170697598,0.0,0.0,0.0,0.001138987170697598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001138987170697598,0.0,0.0,0.0
0.00020747556444882868,0.01044070582387654,0.009537183204502609,0.999898365440484,0.0011528279347197013,0.001149481554647946,0.0007177985253915122,0.0,0.0,0.00016731900358776507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016731900358776507,0.0,0.0,0.0,0.00016731900358776507,0.0,0.0,0.0,0.0,0.0
0.0001808310407196365,0.005307975822118683,0.005757804281620267,0.9999686654720198,0.0007422169581776125,0.0007368190166635935,0.0004363336057165358,0.0,8.996569190031667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.996569190031667e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.996569190031667e-05,0.0,0.0
0.00031816876594551754,0.020813540105602605,0.01988554787159485,0.9995802063455009,0.002087982526517459,0.002068096978645864,0.0013058176435680616,0.0,0.0,0.0,0.00033142579785991414,0.0,0.0,0.00033142579785991414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033142579785991414,0.0,0.0,0.0,0.0
0.0004983053577394753,0.07898139920170684,0.07350004026657261,0.9941191886902533,0.005855087953438835,0.005817715051608374,0.0036999172812156047,0.0,0.0,0.0,0.0,0.0012457633943486882,0.0012457633943486882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012457633943486882,0.0,0.0,0.0,0.0
0.00015693491377546747,0.00816061551632431,0.007585187499147595,0.9999369589393536,0.0008827588899870045,0.0008866822628313913,0.0005531955710585229,0.0,0.0,0.0,0.0,0.00013077909481288956,0.00013077909481288956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013077909481288956,0.0,0.0,0.0,0.0,0.0
0.0005851723132635937,0.1183558194891204,0.10570854691213305,0.9872423220543854,0.008192412385690311,0.008116906280753072,0.005115538609497867,0.0,0.0,0.0018876526234309471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018876526234309471,0.0,0.0,0.0,0.0018876526234309471,0.0,0.0,0.0,0.0,0.0
0.00027671580267261725,0.02090741620193108,0.019130969073662428,0.9995931340988619,0.0020599954198961506,0.0020497466864638314,0.0012571779676978168,0.0,0.0,0.0,0.0003416244477439719,0.0,0.0,0.0,0.0003416244477439719,0.0,0.0,0.0,0.0,0.0,0.0,0.0003416244477439719,0.0,0.0,0.0,0.0,0.0
